,aroma,balanced,black,bodied,body,boozy,bourbon,caramel,carbonation,chocolate,coffee,dark,deep,finish,fruit,funk,light,malt,mouthfeel,roasted,smooth,sweet,thick,thin,vanilla,vintage
aroma,0.0,0.3928532559405042,0.9745028046914839,0.07027027027027027,0.3451269451269451,0.484206081081081,0.9893262276360868,0.8764619164619164,0.13063795502819894,1.0057343347404197,0.8360590622571452,0.9962004723169772,0.8155049786628733,0.030471179143745513,0.8332403577955179,0.453058321479374,0.46607436165447214,0.8608108108108107,0.18363963963963964,0.9722098569157394,0.20659459459459456,0.7297818049263135,0.4087868690608416,0.8001903311762465,0.8975278596131675,0.07485311398354877
balanced,0.3928532559405042,0.0,0.16132708623527922,0.6979865771812079,0.2989627821842587,0.8015939597315436,0.8309481047357973,0.4080841976815131,0.3823320783543406,0.6243652749227439,0.6146407358963911,0.298846680132925,0.0843783115506888,0.5675001484825086,0.5933506890539539,0.45001766160367357,0.3188661055285698,0.4205083067444163,0.7695302013422817,0.7544413738649822,1.1115436241610737,0.5436629553477906,0.2928197113174588,0.0,0.6078437609338719,0.09293843011380215
black,0.9745028046914839,0.16132708623527922,0.0,0.05450733752620545,0.2521440823327616,0.281692216981132,0.6545486757020108,0.4188393367638651,0.0977143733701488,0.7720030107033056,0.7807784274720195,0.9724003175184709,0.8961436610393909,0.0709077753659487,0.1853443452181114,0.0,0.5644219743563015,0.5089957727600783,0.08012578616352202,0.9897891231964485,0.1068343815513627,0.2624544055452551,0.8232101318170071,1.0438922845247585,0.46518525142329126,0.7257770485826269
bodied,0.07027027027027027,0.6979865771812079,0.05450733752620545,0.0,0.0,0.7109374999999999,0.5859154929577466,0.5909090909090908,1.7615176151761518,0.5010141987829615,0.4568690095846645,0.3281553398058252,0.17105263157894737,0.8053097345132744,0.3238434163701068,0.456140350877193,0.718232044198895,0.4795081967213114,1.3866666666666667,0.5352941176470588,1.2133333333333334,0.32562620423892097,0.41552511415525106,0.09154929577464788,0.6469194312796208,0.0
body,0.3451269451269451,0.2989627821842587,0.2521440823327616,0.0,0.0,0.5568181818181818,0.3764404609475032,0.506198347107438,1.9315102241931512,0.3794947446063065,0.3842579146093523,0.3978817299205648,0.08791866028708134,0.8803968892464468,0.3329019734713685,0.4298245614035087,1.1690105474635863,0.49292101341281674,1.0542424242424242,0.2882352941176471,0.9503030303030303,0.4033981432825363,0.6712328767123287,0.34507042253521125,0.39056441189142604,0.19367588932806326
boozy,0.484206081081081,0.8015939597315436,0.281692216981132,0.7109374999999999,0.5568181818181818,0.0,1.2196082746478873,0.8143465909090909,0.5664380081300813,0.9993502789046653,0.9062749600638977,0.8986802184466018,0.19644325657894735,1.1010094026548671,0.4781750444839857,0.0,0.3299378453038674,0.8566214139344263,0.44789062499999993,0.6147518382352941,0.7464843749999999,1.0355852601156068,0.6817208904109588,0.21027728873239435,0.9552169727488151,0.10818614130434782
bourbon,0.9893262276360868,0.8309481047357973,0.6545486757020108,0.5859154929577466,0.3764404609475032,1.2196082746478873,0.0,1.7617413572343152,0.23341348906446815,2.172893751964118,1.9606173783917564,1.3170299466703133,0.3187361008154188,0.5557771407204288,0.5363941657059796,0.0,0.5799470858298965,1.434022165781575,0.48447887323943667,2.343231151615576,0.7536338028169015,0.9542294227794513,0.44244645957939416,0.37909145010910533,2.2450837727788535,0.15603184323331293
caramel,0.8764619164619164,0.4080841976815131,0.4188393367638651,0.5909090909090908,0.506198347107438,0.8143465909090909,1.7617413572343152,0.0,0.4237250554323725,1.2862161165406603,1.1933343014812663,1.1975375110326567,0.2857356459330143,0.3587288817377313,1.2055807182141702,0.0,0.9838146659969864,1.4951937406855442,0.20268181818181819,1.3285026737967915,0.46327272727272734,1.2217813977929584,0.43630136986301377,0.12234314980793853,1.7702068074105988,0.06294466403162055
carbonation,0.13063795502819894,0.3823320783543406,0.0977143733701488,1.7615176151761518,1.9315102241931512,0.5664380081300813,0.23341348906446815,0.4237250554323725,0.0,0.18908623163310742,0.2316423803215668,0.1810087615439261,0.20442875481386394,1.084658368707581,0.23959147064780256,0.4997147339894452,0.8154561379867943,0.1485739037718246,1.7780758807588077,0.1827833572453372,1.2429268292682927,0.3692059463947241,0.5911942681070647,0.29176686133058516,0.1840827649982661,0.15011193590196772
chocolate,1.0057343347404197,0.6243652749227439,0.7720030107033056,0.5010141987829615,0.3794947446063065,0.9993502789046653,2.172893751964118,1.2862161165406603,0.18908623163310742,0.0,2.2910847714650475,1.4601862974851807,0.48453346855983775,0.4688111436213179,0.4828091501663864,0.0,0.7495545369986442,1.3503391746749578,0.38762677484787017,2.4397685240424773,0.7235699797160244,0.9709341181160526,0.6371946983800606,0.3275719224066509,2.020803091623968,0.1404444836405327
coffee,0.8360590622571452,0.6146407358963911,0.7807784274720195,0.4568690095846645,0.3842579146093523,0.9062749600638977,1.9606173783917564,1.1933343014812663,0.2316423803215668,2.2910847714650475,0.0,1.339638326250814,0.3213384899949554,0.5042834120274817,0.3476402169340443,0.0,0.5059749704340458,1.3512020112082963,0.5698402555910542,2.621744033076489,0.7123003194888179,0.7528855565199727,0.44605890848614815,0.42995995140170085,1.6348666777705434,0.13272676760661203
dark,0.9962004723169772,0.298846680132925,0.9724003175184709,0.3281553398058252,0.3978817299205648,0.8986802184466018,1.3170299466703133,1.1975375110326567,0.1810087615439261,1.4601862974851807,1.339638326250814,0.0,1.0741440981093509,0.36121659936420647,1.0036001796634764,0.06509964230965763,0.533025800568578,1.0645392328505492,0.1484271844660194,1.4842718446601941,0.3339611650485436,0.6863684830798586,0.5930309881633196,0.8884725830712429,1.1518934339483733,0.4840016884761502
deep,0.8155049786628733,0.0843783115506888,0.8961436610393909,0.17105263157894737,0.08791866028708134,0.19644325657894735,0.3187361008154188,0.2857356459330143,0.20442875481386394,0.48453346855983775,0.3213384899949554,1.0741440981093509,0.0,0.14834653004191897,0.26844914778048323,0.22056786703601108,0.4862241930793835,0.0,0.0838157894736842,0.2958204334365325,0.3352631578947368,0.5813811986613934,0.5166726748377793,0.4426890289103039,0.3277157645298079,0.09110411899313502
finish,0.030471179143745513,0.5675001484825086,0.0709077753659487,0.8053097345132744,0.8803968892464468,1.1010094026548671,0.5557771407204288,0.3587288817377313,1.084658368707581,0.4688111436213179,0.5042834120274817,0.36121659936420647,0.14834653004191897,0.0,0.4814663181431676,0.8406303369042074,0.5450300689385421,0.46206296242564926,1.221386430678466,0.36475793857365957,0.7892035398230088,0.7060037171551827,0.28314543176950746,0.11909510158294902,0.44082120538522834,0.04084904450429652
fruit,0.8332403577955179,0.5933506890539539,0.1853443452181114,0.3238434163701068,0.3329019734713685,0.4781750444839857,0.5363941657059796,1.2055807182141702,0.23959147064780256,0.4828091501663864,0.3476402169340443,1.0036001796634764,0.26844914778048323,0.4814663181431676,0.0,0.83517512642817,0.4320894201844242,0.6131789277171694,0.4533807829181495,0.4400460540087922,0.4080427046263345,0.628967560117664,0.031053478282065033,0.2873540173424891,0.5156937815182743,0.04928051988240756
funk,0.453058321479374,0.45001766160367357,0.0,0.456140350877193,0.4298245614035087,0.0,0.0,0.0,0.4997147339894452,0.0,0.0,0.06509964230965763,0.22056786703601108,0.8406303369042074,0.83517512642817,0.0,1.1576766501890083,0.41220880069025023,0.44701754385964915,0.0,0.11175438596491229,0.4521853767366392,0.07654409997596731,0.11805040770941437,0.23833873783986032,0.0
light,0.46607436165447214,0.3188661055285698,0.5644219743563015,0.718232044198895,1.1690105474635863,0.3299378453038674,0.5799470858298965,0.9838146659969864,0.8154561379867943,0.7495545369986442,0.5059749704340458,0.533025800568578,0.4862241930793835,0.5450300689385421,0.4320894201844242,1.1576766501890083,0.0,0.6706933248799928,0.5279005524861878,0.31052973675658113,0.5454972375690608,0.7323475872640756,0.3856807689396806,0.6319936191736051,0.9006834070854388,0.2295219793418208
malt,0.8608108108108107,0.4205083067444163,0.5089957727600783,0.4795081967213114,0.49292101341281674,0.8566214139344263,1.434022165781575,1.4951937406855442,0.1485739037718246,1.3503391746749578,1.3512020112082963,1.0645392328505492,0.0,0.46206296242564926,0.6131789277171694,0.41220880069025023,0.6706933248799928,0.0,0.287172131147541,3.2249276759884284,0.5221311475409836,0.6488913105278119,0.17881203682910396,0.3309281921034403,1.1692273327635772,0.0
mouthfeel,0.18363963963963964,0.7695302013422817,0.08012578616352202,1.3866666666666667,1.0542424242424242,0.44789062499999993,0.48447887323943667,0.20268181818181819,1.7780758807588077,0.38762677484787017,0.5698402555910542,0.1484271844660194,0.0838157894736842,1.221386430678466,0.4533807829181495,0.44701754385964915,0.5279005524861878,0.287172131147541,0.0,0.07494117647058825,1.3589333333333333,0.3927552986512524,1.5706849315068492,0.40373239436619707,0.3169905213270142,0.04615942028985508
roasted,0.9722098569157394,0.7544413738649822,0.9897891231964485,0.5352941176470588,0.2882352941176471,0.6147518382352941,2.343231151615576,1.3285026737967915,0.1827833572453372,2.4397685240424773,2.621744033076489,1.4842718446601941,0.2958204334365325,0.36475793857365957,0.4400460540087922,0.0,0.31052973675658113,3.2249276759884284,0.07494117647058825,0.0,0.637,0.6930975858551514,0.41063658340048353,0.31665285832642914,1.864650125453025,0.16291560102301791
smooth,0.20659459459459456,1.1115436241610737,0.1068343815513627,1.2133333333333334,0.9503030303030303,0.7464843749999999,0.7536338028169015,0.46327272727272734,1.2429268292682927,0.7235699797160244,0.7123003194888179,0.3339611650485436,0.3352631578947368,0.7892035398230088,0.4080427046263345,0.11175438596491229,0.5454972375690608,0.5221311475409836,1.3589333333333333,0.637,0.0,0.6014065510597302,0.9307762557077625,0.2691549295774648,0.5736018957345971,0.13847826086956522
sweet,0.7297818049263135,0.5436629553477906,0.2624544055452551,0.32562620423892097,0.4033981432825363,1.0355852601156068,0.9542294227794513,1.2217813977929584,0.3692059463947241,0.9709341181160526,0.7528855565199727,0.6863684830798586,0.5813811986613934,0.7060037171551827,0.628967560117664,0.4521853767366392,0.7323475872640756,0.6488913105278119,0.3927552986512524,0.6930975858551514,0.6014065510597302,0.0,0.5380209570565102,0.25930147358137257,1.090663781059091,0.13340872916143084
thick,0.4087868690608416,0.2928197113174588,0.8232101318170071,0.41552511415525106,0.6712328767123287,0.6817208904109588,0.44244645957939416,0.43630136986301377,0.5911942681070647,0.6371946983800606,0.44605890848614815,0.5930309881633196,0.5166726748377793,0.28314543176950746,0.031053478282065033,0.07654409997596731,0.3856807689396806,0.17881203682910396,1.5706849315068492,0.41063658340048353,0.9307762557077625,0.5380209570565102,0.0,0.3072544858190237,0.4755891709407258,0.1896962477665277
thin,0.8001903311762465,0.0,1.0438922845247585,0.09154929577464788,0.34507042253521125,0.21027728873239435,0.37909145010910533,0.12234314980793853,0.29176686133058516,0.3275719224066509,0.42995995140170085,0.8884725830712429,0.4426890289103039,0.11909510158294902,0.2873540173424891,0.11805040770941437,0.6319936191736051,0.3309281921034403,0.40373239436619707,0.31665285832642914,0.2691549295774648,0.25930147358137257,0.3072544858190237,0.0,0.22323276149789734,0.09751990202082057
vanilla,0.8975278596131675,0.6078437609338719,0.46518525142329126,0.6469194312796208,0.39056441189142604,0.9552169727488151,2.2450837727788535,1.7702068074105988,0.1840827649982661,2.020803091623968,1.6348666777705434,1.1518934339483733,0.3277157645298079,0.44082120538522834,0.5156937815182743,0.23833873783986032,0.9006834070854388,1.1692273327635772,0.3169905213270142,1.864650125453025,0.5736018957345971,1.090663781059091,0.4755891709407258,0.22323276149789734,0.0,0.09844426128168143
vintage,0.07485311398354877,0.09293843011380215,0.7257770485826269,0.0,0.19367588932806326,0.10818614130434782,0.15603184323331293,0.06294466403162055,0.15011193590196772,0.1404444836405327,0.13272676760661203,0.4840016884761502,0.09110411899313502,0.04084904450429652,0.04928051988240756,0.0,0.2295219793418208,0.0,0.04615942028985508,0.16291560102301791,0.13847826086956522,0.13340872916143084,0.1896962477665277,0.09751990202082057,0.09844426128168143,0.0
