Word,Frequency
the,90
and,65
of,45
a,43
is,39
with,32
bourbon,20
in,20
this,19
beer,18
to,18
on,16
dark,16
sweet,16
chocolate,14
that,14
stout,14
maple,13
i,13
very,12
for,12
barrel,11
an,11
from,11
it,11
brown,10
taste,10
not,10
its,10
caramel,9
flavor,8
nose,7
coffee,7
mouthfeel,7
pours,7
perfect,7
all,7
sweetness,7
but,7
black,6
full,6
vanilla,6
fruit,6
you,6
as,6
espresso,6
oak,6
one,6
more,5
much,5
toffee,5
smell,5
amazing,5
flavors,5
color,5
complex,5
special,4
worth,4
overall,4
up,4
finish,4
off,4
just,4
price,4
nice,4
deep,4
beers,4
have,4
light,4
toasty,4
rich,4
molasses,4
scent,4
has,4
barleywine,4
out,4
savory,4
whisky,4
good,4
mouth,4
be,4
booze,3
blend,3
than,3
look,3
bw,3
while,3
some,3
there,3
obviously,3
no,3
toasted,3
if,3
so,3
barley,3
aged,3
bottle,3
say,3
batch,3
im,3
pull,3
best,3
palate,3
well,3
which,3
feel,3
ba,3
side,3
too,3
edges,3
brandy,3
project,3
comes,3
still,3
malted,2
candies,2
start,2
closure,2
finishes,2
bakers,2
smoky,2
lavishly,2
middle,2
peppery,2
roasty,2
check,2
bold,2
trend,2
coating,2
remains,2
spicy,2
boldness,2
lightly,2
bitter,2
balancing,2
chest,2
warming,2
offset,2
roast,2
ring,2
drying,2
barrels,2
fantastic,2
charts,2
boozy,2
down,2
me,2
would,2
2021,2
mjk,2
yr,2
10,2
super,2
were,2
slight,2
great,2
sugar,2
by,2
raisin,2
char,2
leather,2
what,2
thats,2
balance,2
pour,2
they,2
track,2
drank,2
offpastry,2
spice,2
bitterness,2
portlike,2
warmth,2
masterful,2
belongs,2
such,2
lofty,2
pedestals,2
2023,2
follows,2
making,2
thick,2
ive,2
had,2
didnt,2
bean,2
other,2
at,2
strong,2
almost,2
ball,2
laced,2
covered,2
crescendo,2
bottles,2
fruits,2
bit,2
profile,2
alcohol,2
only,2
2022,2
pretty,2
version,2
viscous,2
excellent,2
lacing,2
head,2
or,2
might,2
flaw,2
like,2
mapledipped,2
carbonation,2
can,2
without,2
low,2
these,2
think,2
abv,2
adwtd,2
syrup,2
flirtation,2
into,2
toppling,2
equipped,2
legging,2
swirling,2
around,2
goliaths,2
sultry,2
ohso,2
seductive,2
pulls,2
onyxblack,2
waters,2
port,2
wine,2
expectedly,2
malts,2
bring,2
sticky,2
ominously,2
impression,2
shows,2
brunch,2
imperial,2
brand,2
inky,2
when,2
something,2
kentucky,2
narrowest,1
sp,1
solodoming,1
briljant,1
lets,1
distracting,1
really,1
searching,1
right,1
margins,1
present,1
honest,1
instead,1
beverage,1
turning,1
either,1
given,1
chance,1
split,1
decided,1
pissed,1
again,1
those,1
plums,1
entire,1
imo,1
our,1
complexity,1
hits,1
superb,1
wax,1
11,1
expect,1
beercation,1
star,1
sets,1
was,1
way,1
every,1
brew,1
phenomenal,1
absolute,1
malty,1
felt,1
previous,1
bodied,1
thin,1
traditional,1
embodiment,1
incredible,1
wait,1
find,1
trying,1
3,1
smidge,1
apart,1
june,1
get,1
complimented,1
intense,1
parts,1
plays,1
longs,1
fig,1
point,1
intensity,1
multilayered,1
spectacular,1
exhale,1
product,1
lots,1
sickvacation,1
maltbased,1
beast,1
oaked,1
bubbles,1
triple,1
â€“,1
devil,1
time,1
deal,1
spike,1
sharp,1
stuff,1
suspect,1
could,1
small,1
hot,1
various,1
layers,1
underneath,1
glorious,1
noise,1
bruised,1
edge,1
gone,1
achingly,1
before,1
desiccated,1
brings,1
home,1
shame,1
use,1
three,1
coconut,1
anyway,1
aroma,1
sending,1
traders,1
among,1
prince,1
noblepudding,1
thank,1
unbalanced,1
night,1
combination,1
tannins,1
overwhelming,1
sniff,1
hints,1
tad,1
another,1
transcendent,1
fancy,1
goldwaxed,1
northern,1
damn,1
anchorage,1
lack,1
rarely,1
expected,1
misses,1
their,1
big,1
better,1
brownred,1
muddied,1
7,1
based,1
375ml,1
steppes,1
leans,1
sampled,1
never,1
depends,1
notes,1
overly,1
tried,1
happy,1
ill,1
suppose,1
consumer,1
answer,1
tap,1
cant,1
tag,1
hype,1
justify,1
does,1
impy,1
heat,1
delish,1
tg,1
smooth,1
overpowering,1
see,1
silky,1
hurt,1
teeth,1
your,1
rather,1
palatable,1
complimentary,1
part,1
perfectly,1
dessert,1
richness,1
rating,1
day,1
release,1
kbbs,1
theres,1
tell,1
event,1
aging,1
albeit,1
smells,1
noticeable,1
brownie,1
showcasing,1
decadent,1
assume,1
serious,1
any,1
seen,1
oil,1
motor,1
retention,1
brownish,1
blackish,1
brewery,1
replicates,1
closely,1
taking,1
center,1
days,1
relatively,1
actually,1
though,1
integrated,1
forever,1
goes,1
works,1
fairly,1
across,1
soft,1
long,1
perhaps,1
quite,1
stage,1
foam,1
lucious,1
warm,1
insanely,1
darkest,1
disappoint,1
did,1
moment,1
gift,1
rubycopper,1
style,1
carb,1
explode,1
body,1
cinnamon,1
woody,1
rimming,1
amburana,1
brazilian,1
estate,1
aromas,1
dry,1
wonderful,1
earthy,1
also,1
heavy,1
massive,1
support,1
level,1
meet,1
rise,1
wood,1
earth,1
rustic,1
focus,1
incredibly,1
background,1
anise,1
cocoa,1
touch,1
family,1
willet,1
mos,1
m,1
similar,1
amber,1
understatement,1
4oz,1
ordered,1
k,1
j,1
6,1
32,1
1oz,1
offering,1
stumbled,1
wow,1
expensive,1
favorite,1
my,1
lingers,1
perfection,1
medium,1
thickness,1
31,1
2024,1
destination,1
monthly,1
regular,1
trouble,1
louis,1
st,1
drive,1
hour,1
four,1
ever,1
hands,1
tongue,1
velvety,1
delicious,1
